Data-source,# files,Volume (GB),# files after dedup,Vol after dedup (GB),# files after filtering,Vol after filtering (GB),Num-tokens,Weight,data_prefix
css,,,2990000.0,22.61,2720000.0,11.93,,3.0,${DATA_PATH}/code/css/gpt2-preprocessed_content_document
prolog,,,1020.0,0.01,968.0,0.01,,0.01,${DATA_PATH}/code/prolog/gpt2-preprocessed_content_document
c,,,8630000.0,57.43,8540000.0,53.89,,53.89,${DATA_PATH}/code/c/gpt2-preprocessed_content_document
fortran,,,165000.0,1.84,159000.0,1.78,,1.78,${DATA_PATH}/code/fortran/gpt2-preprocessed_content_document
solidity,,,164000.0,1.21,153000.0,0.85,,0.85,${DATA_PATH}/code/solidity/gpt2-preprocessed_content_document
kotlin,,,2240000.0,5.77,2240000.0,5.68,,5.68,${DATA_PATH}/code/kotlin/gpt2-preprocessed_content_document
literate-agda,,,523.0,0.01,523.0,0.01,,0.01,${DATA_PATH}/code/literate-agda/gpt2-preprocessed_content_document
julia,,,299000.0,1.54,295000.0,1.31,,1.31,${DATA_PATH}/code/julia/gpt2-preprocessed_content_document
java-server-pages,,,214000.0,1.03,211000.0,0.98,,0.98,${DATA_PATH}/code/java-server-pages/gpt2-preprocessed_content_document
isabelle,,,5090.0,0.09,5000.0,0.08,,0.08,${DATA_PATH}/code/isabelle/gpt2-preprocessed_content_document
idris,,,8060.0,0.03,8040.0,0.03,,0.03,${DATA_PATH}/code/idris/gpt2-preprocessed_content_document
lean,,,16900.0,0.1,16900.0,0.09,,0.09,${DATA_PATH}/code/lean/gpt2-preprocessed_content_document
powershell,,,271000.0,1.25,268000.0,1.12,,1.12,${DATA_PATH}/code/powershell/gpt2-preprocessed_content_document
go,,,4730000.0,25.74,4700000.0,23.78,,23.78,${DATA_PATH}/code/go/gpt2-preprocessed_content_document
erlang,,,99400.0,0.73,98400.0,0.7,,0.7,${DATA_PATH}/code/erlang/gpt2-preprocessed_content_document
f-sharp,,,127000.0,0.9,124000.0,0.61,,0.61,${DATA_PATH}/code/f-sharp/gpt2-preprocessed_content_document
ada,,,31300.0,0.3,30900.0,0.26,,0.26,${DATA_PATH}/code/ada/gpt2-preprocessed_content_document
pascal,,,119000.0,1.71,111000.0,1.68,,1.68,${DATA_PATH}/code/pascal/gpt2-preprocessed_content_document
perl,,,392000.0,2.63,365000.0,2.23,,2.23,${DATA_PATH}/code/perl/gpt2-preprocessed_content_document
r,,,39200.0,0.3,39000.0,0.3,,0.3,${DATA_PATH}/code/r/gpt2-preprocessed_content_document
protocol-buffer,,,98200.0,0.44,97200.0,0.31,,0.31,${DATA_PATH}/code/protocol-buffer/gpt2-preprocessed_content_document
cmake,,,187000.0,0.45,186000.0,0.45,,0.45,${DATA_PATH}/code/cmake/gpt2-preprocessed_content_document
sas,,,9770.0,0.13,9230.0,0.12,,0.12,${DATA_PATH}/code/sas/gpt2-preprocessed_content_document
ruby,,,3410000.0,7.14,3390000.0,6.81,,6.81,${DATA_PATH}/code/ruby/gpt2-preprocessed_content_document
rust,,,1390000.0,9.53,1380000.0,9.11,,9.11,${DATA_PATH}/code/rust/gpt2-preprocessed_content_document
rmarkdown,,,5390.0,0.06,5390.0,0.06,,0.06,${DATA_PATH}/code/rmarkdown/gpt2-preprocessed_content_document
c-sharp,,,10800000.0,46.29,10800000.0,44.66,,44.66,${DATA_PATH}/code/c-sharp/gpt2-preprocessed_content_document
smalltalk,,,593000.0,0.74,588000.0,0.58,,0.58,${DATA_PATH}/code/smalltalk/gpt2-preprocessed_content_document
haskell,,,545000.0,2.36,541000.0,2.23,,2.23,${DATA_PATH}/code/haskell/gpt2-preprocessed_content_document
maple,,,1260.0,0.01,1150.0,0.01,,0.01,${DATA_PATH}/code/maple/gpt2-preprocessed_content_document
mathematica,,,26900.0,1.72,22700.0,1.25,,1.25,${DATA_PATH}/code/mathematica/gpt2-preprocessed_content_document
ocaml,,,160000.0,1.11,158000.0,1.03,,1.03,${DATA_PATH}/code/ocaml/gpt2-preprocessed_content_document
makefile,,,661000.0,1.49,657000.0,1.31,,1.31,${DATA_PATH}/code/makefile/gpt2-preprocessed_content_document
lua,,,559000.0,3.28,549000.0,2.87,,2.87,${DATA_PATH}/code/lua/gpt2-preprocessed_content_document
literate-coffeescript,,,1140.0,0.01,1130.0,0.01,,0.01,${DATA_PATH}/code/literate-coffeescript/gpt2-preprocessed_content_document
literate-haskell,,,6140.0,0.05,6100.0,0.05,,0.05,${DATA_PATH}/code/literate-haskell/gpt2-preprocessed_content_document
restructuredtext,,,906000.0,3.42,897000.0,3.32,,3.32,${DATA_PATH}/code/restructuredtext/gpt2-preprocessed_content_document
racket,,,4200.0,0.04,3690.0,0.03,,0.03,${DATA_PATH}/code/racket/gpt2-preprocessed_content_document
standard-ml,,,49000.0,0.52,19600.0,0.19,,0.19,${DATA_PATH}/code/standard-ml/gpt2-preprocessed_content_document
systemverilog,,,46900.0,0.41,46300.0,0.39,,0.39,${DATA_PATH}/code/systemverilog/gpt2-preprocessed_content_document
tex,,,548000.0,5.44,523000.0,5.2,,5.2,${DATA_PATH}/code/tex/gpt2-preprocessed_content_document
awk,,,10400.0,0.02,10300.0,0.02,,0.02,${DATA_PATH}/code/awk/gpt2-preprocessed_content_document
assembly,,,248000.0,1.58,248000.0,1.56,,1.56,${DATA_PATH}/code/assembly/gpt2-preprocessed_content_document
alloy,,,5370.0,0.01,5370.0,0.01,,0.01,${DATA_PATH}/code/alloy/gpt2-preprocessed_content_document
agda,,,17600.0,0.07,17600.0,0.07,,0.07,${DATA_PATH}/code/agda/gpt2-preprocessed_content_document
emacs-lisp,,,54800.0,0.43,52800.0,0.41,,0.41,${DATA_PATH}/code/emacs-lisp/gpt2-preprocessed_content_document
dart,,,933000.0,3.86,928000.0,3.66,,3.66,${DATA_PATH}/code/dart/gpt2-preprocessed_content_document
cuda,,,58400.0,0.59,58200.0,0.56,,0.56,${DATA_PATH}/code/cuda/gpt2-preprocessed_content_document
bluespec,,,5940.0,0.03,5930.0,0.03,,0.03,${DATA_PATH}/code/bluespec/gpt2-preprocessed_content_document
augeas,,,195.0,0.0,180.0,0.001,,0.001,${DATA_PATH}/code/augeas/gpt2-preprocessed_content_document
batchfile,,,253000.0,0.29,240000.0,0.23,,0.23,${DATA_PATH}/code/batchfile/gpt2-preprocessed_content_document
tcsh,,,4910.0,0.02,4810.0,0.02,,0.02,${DATA_PATH}/code/tcsh/gpt2-preprocessed_content_document
stan,,,5440.0,0.01,5430.0,0.01,,0.01,${DATA_PATH}/code/stan/gpt2-preprocessed_content_document
scala,,,1360000.0,4.86,1360000.0,4.69,,4.69,${DATA_PATH}/code/scala/gpt2-preprocessed_content_document
tcl,,,50600.0,0.4,49300.0,0.35,,0.35,${DATA_PATH}/code/tcl/gpt2-preprocessed_content_document
stata,,,31300.0,0.41,24200.0,0.33,,0.33,${DATA_PATH}/code/stata/gpt2-preprocessed_content_document
applescript,,,4910.0,0.01,4740.0,0.01,,0.01,${DATA_PATH}/code/applescript/gpt2-preprocessed_content_document
shell,,,2240000.0,3.38,2210000.0,3.09,,3.09,${DATA_PATH}/code/shell/gpt2-preprocessed_content_document
clojure,,,126000.0,0.49,125000.0,0.46,,0.46,${DATA_PATH}/code/clojure/gpt2-preprocessed_content_document
scheme,,,44300.0,0.3,41900.0,0.2,,0.2,${DATA_PATH}/code/scheme/gpt2-preprocessed_content_document
antlr,,,7980.0,0.05,7920.0,0.05,,0.05,${DATA_PATH}/code/antlr/gpt2-preprocessed_content_document
sparql,,,14200.0,0.04,13700.0,0.04,,0.04,${DATA_PATH}/code/sparql/gpt2-preprocessed_content_document
sql,,,994000.0,12.22,975000.0,11.09,,11.09,${DATA_PATH}/code/sql/gpt2-preprocessed_content_document
glsl,,,176000.0,0.57,168000.0,0.4,,0.4,${DATA_PATH}/code/glsl/gpt2-preprocessed_content_document
elm,,,62900.0,0.34,62000.0,0.3,,0.3,${DATA_PATH}/code/elm/gpt2-preprocessed_content_document
dockerfile,,,572000.0,0.42,572000.0,0.42,,0.42,${DATA_PATH}/code/dockerfile/gpt2-preprocessed_content_document
cpp,,,6380000.0,50.89,6350000.0,48.92,,48.92,${DATA_PATH}/code/cpp/gpt2-preprocessed_content_document
coffeescript,,,228000.0,0.69,226000.0,0.64,,0.64,${DATA_PATH}/code/coffeescript/gpt2-preprocessed_content_document
common-lisp,,,101000.0,1.68,98700.0,1.4,,1.4,${DATA_PATH}/code/common-lisp/gpt2-preprocessed_content_document
elixir,,,282000.0,0.74,281000.0,0.71,,0.71,${DATA_PATH}/code/elixir/gpt2-preprocessed_content_document
groovy,,,252000.0,0.94,251000.0,0.91,,0.91,${DATA_PATH}/code/groovy/gpt2-preprocessed_content_document
html,,,9530000.0,146.76,3300000.0,29.36,,29.36,${DATA_PATH}/code/html/gpt2-preprocessed_content_document
java,,,20200000.0,89.3,20100000.0,86.94,,86.94,${DATA_PATH}/code/java/gpt2-preprocessed_content_document
javascript,,,21100000.0,141.65,19500000.0,64.71,,64.71,${DATA_PATH}/code/javascript/gpt2-preprocessed_content_document
markdown,,,21000000.0,75.25,21000000.0,74.93,,74.93,${DATA_PATH}/code/markdown/gpt2-preprocessed_content_document
php,,,15900000.0,66.84,15700000.0,60.89,,60.89,${DATA_PATH}/code/php/gpt2-preprocessed_content_document
python,,,13000000.0,64.3,12900000.0,60.4,,60.4,${DATA_PATH}/code/python/gpt2-preprocessed_content_document
typescript,,,10600000.0,28.82,10500000.0,26.52,,26.52,${DATA_PATH}/code/typescript/gpt2-preprocessed_content_document
verilog,,,77.0,0.001,75.0,0.001,,0.001,${DATA_PATH}/code/verilog/gpt2-preprocessed_content_document
visual-basic,,,163000.0,1.49,161000.0,1.42,,1.42,${DATA_PATH}/code/visual-basic/gpt2-preprocessed_content_document
vhdl,,,60000.0,1.12,58200.0,0.94,,0.94,${DATA_PATH}/code/vhdl/gpt2-preprocessed_content_document
thrift,,,4660.0,0.01,4660.0,0.01,,0.01,${DATA_PATH}/code/thrift/gpt2-preprocessed_content_document
matlab,,,967.0,0.04,93.0,0.0002,,0.0002,${DATA_PATH}/code/matlab/gpt2-preprocessed_content_document
yacc,,,25800.0,0.41,7450.0,0.11,,0.11,${DATA_PATH}/code/yacc/gpt2-preprocessed_content_document
zig,,,15900.0,0.18,15900.0,0.18,,0.18,${DATA_PATH}/code/zig/gpt2-preprocessed_content_document
xslt,,,43100.0,0.56,6510.0,0.05,,0.05,${DATA_PATH}/code/xslt/gpt2-preprocessed_content_document
json,,,17000000.0,338.34,4750000.0,5.62,,1.0,${DATA_PATH}/code/json/gpt2-preprocessed_content_document
yaml,,,5280000.0,28.36,4000000.0,3.76,,1.0,${DATA_PATH}/code/yaml/gpt2-preprocessed_content_document
gh issues,,,,,,54.4,,54.4,${DATA_PATH}/gh_issues/gpt2-preprocessed_content_document
gh commits,,,,,,64.0,,32.0,${DATA_PATH}/gh_commits/gpt2-preprocessed_content_document
notebook scripts,,,,,914000.0,7.12,,7.12,${DATA_PATH}/jupyter_scripts/gpt2-preprocessed_content_document
notebook structured,,,,,,6.0,,6.0,${DATA_PATH}/jupyter_structured/gpt2-preprocessed_content_document
